Text,Tag,Tag - Color,Tag - Group,Tag - Board,Note - Title,Insights,Created,URL
I haven't heard of this yet. That's interesting. I feel like if a person got attacked it would have been everywhere,,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=5jhV5qNL9YzGpCC79CWCpv
"Um, my neighbors have had a lot of experiences with coyotes also. Um, on my very first experience with a coyote, it actually before I sent my y my whole yard fence down. But before I sent to the yard, there was a neighbor's cat in my, and I'll send you this video. I have to find it. But, um, there was a neighbor's cat on my patio and a coyote came up and we thought that and I have the ring cameras. We thought the coyote was gonna eat the cat but it didn't. And then the cat turned around and they just were, like, checking each other out and then the cat ran through my backyard",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=5CvRcucLL3BpUAeARR0l3Y
"So the neighbor that messaged me on the text that I showed you, they live right next door to me and there's a rabbit den right where they saw the coyotes and we're pretty sure we did not see the rabbits there. After that coyote visited, the rabbits were gone, except for a couple that got into our yard and we're pretty sure the coyote went into the rabbit den and ate the rabbits",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=5NUqHSUKrz3YZgNL207EVe
"So things like this, this one's from Canada, but it's all the same thing, right? Like, don't turn your back or run away, make loud noises, make yourself look big",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=5VGR081K5559tTAWJLJIyw
"So, as you can tell in the results, people look this up a lot coyote tode fighting coyote attack and so it'll just pop up in my feed. 00, here we go. Uh, ok. November 1 keep cats inside. This is from Upper Queen Anne. And so I kind of get this whole, like all the neighboring neighborhoods keep cats inside Coyote at 8:55 p.m. on Sixth Avenue West. And then people will have comments and you'll see in the comments that people are very, um, coy proof patios or window patios. People are trying to keep the cats safe because I think those are the ones that get eaten by the coyot",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=64ZI89bXRskXKTI7g8SXQF
"So, um, yeah, my dogs have had encounters with the coyotes. I've never had aggressive encounters. They've always been curious, but I don't let them come up to me. So I usually, um, I do a lot of backpacking and stuff. So anytime I've been trained, like, anytime wild animals approach you, even if they seem docile you, like, scare them away, make noise, things like that. So anytime I've come into contact with them, even with my dogs, that's what I do because I don't want them to get used to coming up to people. Um, because that's when you start having worse scenarios than them eating your pets in the neighborhood",,,,,Interview 6 Deandria-Teagan,,2024-11-23 09:01,https://personal-workspace-hh6j.dovetail.com/data/4BTxQCDYv8i2kM6VtBARMv#:v:h=79aOGjx9UAifUI6gtW3h3d
"Uh, we do have a, a text string. Um, and so there have been once or twice notice, hey, there's a coyote in the neighborhood, you know, make sure your cat's inside but that's, that's about it",Key insight,#5550ff,Untitled group,Tags,Large Dog Owner in Pet Pro,,2024-11-22 18:03,https://personal-workspace-hh6j.dovetail.com/data/5fcRTEEPLFTtwMWaWTjLug#:v:h=eKGbQiCJPwEZ9YSX4yqQY
"So, um, it's interesting, a little scary sometimes, especially when you see him on the boulevard. Um, you know, they can be laying in the grassy areas or they can be walking at the sidewalks. And so thoughts in my head are about other people's pets and, and small Children too that may be playing in the yard",Negative,#5550ff,Untitled group,Tags,Large Dog Owner in Pet Pro,,2024-11-22 18:03,https://personal-workspace-hh6j.dovetail.com/data/5fcRTEEPLFTtwMWaWTjLug#:v:h=1jpkiEnMgOQ4qJ28jXHnnJ
"So, some concern, uh, probably about the same size as a coyote. It's a, it's a golden retriever. He's about 70 pounds and it's about the same size as the coyotes that I've seen",Negative,#5550ff,Untitled group,Tags,Large Dog Owner in Pet Pro,,2024-11-22 18:03,https://personal-workspace-hh6j.dovetail.com/data/5fcRTEEPLFTtwMWaWTjLug#:v:h=5Ub6mfgmjVisswVolp3BO3
"Um, you know, they can be laying in the grassy areas or they can be walking at the sidewalks. And so thoughts in my head are about other people's pets and, and small Children too that may be playing in the yard",Key insight,#5550ff,Untitled group,Tags,Large Dog Owner in Pet Pro,,2024-11-22 18:03,https://personal-workspace-hh6j.dovetail.com/data/5fcRTEEPLFTtwMWaWTjLug#:v:h=5Zp22YgATe8H42VbRtiCyC
"Uh, no, I've, uh, only once have I really been close in the front yard outside and then I just yelled at it to go away and it ran away. Um, but II, I haven't spoken with neighbors or anything about it",Key insight,#5550ff,Untitled group,Tags,Large Dog Owner in Pet Pro,,2024-11-22 18:03,https://personal-workspace-hh6j.dovetail.com/data/5fcRTEEPLFTtwMWaWTjLug#:v:h=6fBxIRHPgccX14mo00mCca
"So people don't really think about like the positives that they could. But, ",,,,,Woodland Zoo,,2024-11-22 14:51,https://personal-workspace-hh6j.dovetail.com/data/5AhVn6ZE2DIdRXOQ0Mm8ZS#:v:h=quCJ3MCG7dZM3gqPtetay
"Um, when we see conflict rise with, like, dogs in particular, it's almost always when they're denning. So they have like, young pups around and dogs are so closely related to coyotes that they can actually interbreed",Action,#5550ff,Untitled group,Tags,Woodland Zoo,,2024-11-22 14:51,https://personal-workspace-hh6j.dovetail.com/data/5AhVn6ZE2DIdRXOQ0Mm8ZS#:v:h=1LH05v5pfXMr4nj2tpWvuO
"Um, they, you know, they'll eat pretty much anything that's available to them, whether that be, you know, bunnies are one of the most common things they eat, but they also eat a lot of fruit which a lot of people don't know",Action,#5550ff,Untitled group,Tags,Woodland Zoo,,2024-11-22 14:51,https://personal-workspace-hh6j.dovetail.com/data/5AhVn6ZE2DIdRXOQ0Mm8ZS#:v:h=2CPgAjkXLtGI2txEEscWNA
"Um Behaviorally, there's some evidence to suggest that urban Coyotes in general hasn't been tested in Seattle specifically, but that they're a little bit more bold. Um which makes sense because if you're in like an area that you haven't really evolved to be in and there's lots of like new people and like new objects that you wouldn't evolutionarily have seen. It kind of helps to be bold to deal with all these like more novel occurrences. Um But otherwise, yeah, coyotes are just really flexible. They'll use roadways, they'll swim across areas, et cetera. So they've adapted pretty well",,,,,Woodland Zoo,,2024-11-22 14:51,https://personal-workspace-hh6j.dovetail.com/data/5AhVn6ZE2DIdRXOQ0Mm8ZS#:v:h=2U90mqFbh6duBQgkwlu6OD
"I mean, I think that would be cool. I mean, I don't know if you guys have heard of like, probably not because it's very niche but um there is like a, a squid scientist that does these like weekly text blasts about like random squid facts that somehow weirdly popular I care about squid, but I guess people do. Um, but I mean, I think something like that could actually be pretty effective if you could get people to like, sign onto it. Um, but I think a lot of that would like have to be run through with the park zoo and WDFW. Um just because of bureaucracy ",Key insight,#5550ff,Untitled group,Tags,Woodland Zoo,,2024-11-22 14:51,https://personal-workspace-hh6j.dovetail.com/data/5AhVn6ZE2DIdRXOQ0Mm8ZS#:v:h=3QsFcj7EzjOHqD5NkWH7uV
"Um, and they're basically warning that dog off making sure it goes away from like, something they care about, which is usually their den",Action,#5550ff,Untitled group,Tags,Woodland Zoo,,2024-11-22 14:51,https://personal-workspace-hh6j.dovetail.com/data/5AhVn6ZE2DIdRXOQ0Mm8ZS#:v:h=4ahTSw4vC23ndLPLt9Y7qs
"Um Behaviorally, there's some evidence to suggest that urban Coyotes in general hasn't been tested in Seattle specifically, but that they're a little bit more bold",Action,#5550ff,Untitled group,Tags,Woodland Zoo,,2024-11-22 14:51,https://personal-workspace-hh6j.dovetail.com/data/5AhVn6ZE2DIdRXOQ0Mm8ZS#:v:h=6Kfi6uVa5rNJERnPHsoLmg
"Um I would just generally because there's, there's larger carnivores having like mountain lions and bears and coyotes in like one area like you would out in Isaa. Um It just means that there's probably going to be more chance of conflict because you have more animals, especially with like black bears that like to get into people's trash and things or houses or cars. Um So there's just like a little bit more of a risk of conflict happening there. I also think the City of Issaquah has been really proactive in like actually making these collaborations with researchers with zoos and nonprofits and things like that. Um Whereas the City of Seattle I would not say has been nearly like, I've never talked to anyone from the city except for like individual parks and recs, people who have reached out to me outside of their job. ",Suggestion,#5550ff,Untitled group,Tags,Woodland Zoo,,2024-11-22 14:51,https://personal-workspace-hh6j.dovetail.com/data/5AhVn6ZE2DIdRXOQ0Mm8ZS#:v:h=71uHIwJxUbbpkUGDulgGtt
"Um, the other thing I hear a lot is like, people are really afraid about, like their kids. Um, and really there's pretty much no reason to fear coyotes around kids. Very rarely does something happen and almost every time something actually happens, like, some sort of, they call them attacks but they're almost always just like a tiny nip. Um, is because that coyote has been habituated and it has come to associate people with food because someone is feeding it somewhere. Um, and so when they approach like, a kid and they, like, knit, they're basically just trying to get, like, food away from something. Um, not more like an attack because media likes to sensationalize everything. Um, but, yeah, I think those are like some of the bigger things that people know or perceive about coyotes. Um, a lot of people don't really know a lot about, like, the life history of them either. They're actually kind of a lot like humans. There's a lot of, like, human, like, um, I guess just ecology with them, they are, they tend to be monogamous. Um, they raise like a litter of pups every year",Suggestion,#5550ff,Untitled group,Tags,Woodland Zoo,,2024-11-22 14:51,https://personal-workspace-hh6j.dovetail.com/data/5AhVn6ZE2DIdRXOQ0Mm8ZS#:v:h=7ozXHrnFd1KRzkiwnGyjx8
I think it's unlikely they would attack a human,Key insight,#5550ff,Untitled group,Tags,Greenlake - Older Woman,,2024-11-22 18:10,https://personal-workspace-hh6j.dovetail.com/data/5ZQXzYOqptyTmltE4Ygo9m#:v:h=7ickxbgmqkTDaIUb6xIOk
"Um, I have a friend who lives in West Seattle and, um, she's had neighbors that have had their cats, uh, gotten by coyotes and they're outdoor. It must have been cats that went outdoors. Yeah, I think you have to just respect the space. You know, this is the, the animals have their, have their territory, especially wild animals. They, they stick out of territory and, and that's their turf, you know",Suggestion,#5550ff,Untitled group,Tags,Greenlake - Older Woman,,2024-11-22 18:10,https://personal-workspace-hh6j.dovetail.com/data/5ZQXzYOqptyTmltE4Ygo9m#:v:h=UukKNrU7A5QpTOoFj2M5r
"I don't, I don't know, I think I would just kind of watch it and let it, let it, uh, b, I mean, I might put a piece of something between me and it, like a barrier, you know, just, you know, just to let it know that's, that's my area, you know",Key insight,#5550ff,Untitled group,Tags,Greenlake - Older Woman,,2024-11-22 18:10,https://personal-workspace-hh6j.dovetail.com/data/5ZQXzYOqptyTmltE4Ygo9m#:v:h=2FLNXyzkpYBd2uCZiwsgCs
"I don't, I don't know, I think I would just kind of watch it and let it, let it, uh, b, I mean, I might put a piece of something between me and it, like a barrier, you know, just, you know, just to let it know that's, that's my area, you know",Action,#5550ff,Untitled group,Tags,Greenlake - Older Woman,,2024-11-22 18:10,https://personal-workspace-hh6j.dovetail.com/data/5ZQXzYOqptyTmltE4Ygo9m#:v:h=2FLNXyzkpYBd2uCZiwsgCs
"Yeah, very near the lake actually",,,,,Greenlake - Older Woman,,2024-11-22 18:10,https://personal-workspace-hh6j.dovetail.com/data/5ZQXzYOqptyTmltE4Ygo9m#:v:h=3s85RPTuoqYblUq7iUdXyE
"Well, I've never seen one in my own neighborhood",,,,,Greenlake - Older Woman,,2024-11-22 18:10,https://personal-workspace-hh6j.dovetail.com/data/5ZQXzYOqptyTmltE4Ygo9m#:v:h=3HcbkqzQ2q1KDYJnogYZkm
"So, I mean, I wouldn't be bothered by it. I mean, I don't think they, they're gonna attack humans",Satisfaction,#5550ff,Untitled group,Tags,Greenlake - Older Woman,,2024-11-22 18:10,https://personal-workspace-hh6j.dovetail.com/data/5ZQXzYOqptyTmltE4Ygo9m#:v:h=4yNqaCBLOEyKbziqXCJn1D
"Um, you know, I like animals. I like nature. Um, I kind of almost liked it during the pandemic because there were more, fewer people out and so there were more animals around and I thought that was kind of nice actually",Positive,#5550ff,Untitled group,Tags,Greenlake - Older Woman,,2024-11-22 18:10,https://personal-workspace-hh6j.dovetail.com/data/5ZQXzYOqptyTmltE4Ygo9m#:v:h=6TDkMHZCihvbwOT6oTYbMr
"Well, I thought it was kind of cool. I mean, wildlife in the city. I'm, I sort of, I thought it was a great, a neat sighting, you know",Delight,#5550ff,Untitled group,Tags,Greenlake - Older Woman,,2024-11-22 18:10,https://personal-workspace-hh6j.dovetail.com/data/5ZQXzYOqptyTmltE4Ygo9m#:v:h=7KmhVklg1EaidPSSi7K2Ik
